96500 98888
1 400230012 540007858
1 782575773 561162583
1 214087336 130747427
1 65487618 931747040
1 919224356 199373352
1 889646349 150532160
1 796315291 553007733
1 53443659 579412367
1 382201596 538635795
1 191203188 916444804
1 16742262 859818255
1 4629118 285153512
1 843750738 84132425
1 512791318 631806215
1 120700911 395648409
1 600710753 617979702
1 561823061 74590368
1 50476188 97251151
1 637624552 612446934
1 114726561 916479368
1 190552953 725363394
1 959452794 68403435
1 162421823 164842402
1 202836027 8558000
1 146961264 164748576
1 923294627 95962767
1 247557673 25985872
1 577711064 816284561
1 394480234 540253127
1 87003240 620069651
1 831602369 917441107
1 75323712 536233010
1 139054602 628487878
1 744988087 185116199
1 93276290 824522298
1 759437369 368546662
1 911675638 29605099
1 823314532 210201703
1 471830062 538227310
1 40399544 390303556
1 989243542 397815320
1 606161371 91741029
1 78679657 666552294
1 240557712 134736861
1 454476153 574349670
1 456463635 972726361
1 135653258 882631248
1 231847538 126235508
1 397185523 910888763
1 585513580 956668506
1 570086821 524651280
1 130668441 416200653
1 993270650 509426419
1 116949367 413452742
1 703458549 130356308
1 219761196 647526910
1 83575311 988925417
1 127594366 728303165
1 905738696 386173736
1 462974395 877403684
1 937085183 738582161
1 760807528 567467436
1 112138811 19332989
1 312662615 821064674
1 301613769 161208663
1 222701194 22454484
1 956894233 16341648
1 499363384 434302412
1 416742422 38692265
1 521155048 614579270
1 56447535 111905927
1 560185861 475457379
1 126024054 105873145
1 680882712 802869368
1 99783776 467152081
1 297903636 875007673
1 124307363 879745057
1 152106164 942758418
1 122558103 397219648
1 943316081 234586144
1 96922382 974848426
1 877015203 459742391
1 489176800 27076884
1 233375729 833716459
1 211696762 754559502
1 125961226 758933087
1 623092614 980279304
1 189381023 149067285
1 207389422 228056473
1 64750309 631717981
1 202234891 642683483
1 89785970 937751105
1 387642363 787293590
1 269289595 995157514
1 834894904 420502030
1 9854288 850734753
1 823877412 726086206
1 156427163 344323191
1 201226106 867903164
1 413434886 136025888
1 940018144 995238876
1 216113848 623574837
1 26970439 759075912
1 375254850 541771289
1 74157102 817898054
1 39593946 321477008
1 534096178 865797764
1 837943302 908298266
1 898189266 997417477
1 982307001 572466249
1 386708233 119756209
1 129094703 174663360
1 94604336 877176372
1 684329795 401429811
1 931297656 458885056
1 904862033 684484224
1 119604560 735103484
1 41232438 149346063
1 707056137 110970639
1 865207807 935838412
1 661922830 764690928
1 913607045 485529265
1 281784070 536401433
1 422648455 724162556
1 33303181 380814847
1 738655393 771205422
1 888837293 792134919
1 335493106 488059167
1 973545466 700740569
1 91874673 889865496
1 190613971 750892920
1 88062173 30665984
1 132292799 237971657
1 864457138 204246411
1 606205216 828643944
1 185388879 625096134
1 810767352 576123427
1 919567840 884363068
1 50231282 276083303
1 42691058 249073708
1 363516504 823885591
1 693992223 943605104
1 559982880 358923006
1 947772 689797053
1 637371795 452305907
1 533378261 684668627
1 39604275 495076511
1 776835360 718805407
1 42162276 744747800
1 722604934 801101953
1 93347131 660641916
1 827432812 706656959
1 86631784 819459600
1 551224159 179987155
1 564533131 525580271
1 728052577 17841033
1 40822027 48524396
1 855402991 148031650
1 752740365 274128656
1 472586289 363232617
1 353905492 707385501
1 664113085 276106136
1 214106698 101659492
1 549276100 444192825
1 523778198 397683311
1 544509802 148422347
1 812959458 118648392
1 415730463 417587950
1 947910749 502264997
1 954811995 172884512
1 671498126 842438697
1 824482819 163743420
1 622335371 345219507
1 112011137 20999718
1 982152150 471874208
1 600507973 357339889
1 319380755 63694010
1 30150475 725871211
1 227805568 557817353
1 721199077 588162049
1 297166220 573180265
1 877419141 13298838
1 579247209 657448390
1 390953645 605435342
1 918878947 836535230
1 2579316 400891072
1 926771300 339325987
1 2835644 999985630
1 189659028 733551448
1 59730654 456712138
1 967777474 394863140
1 117822532 263372790
1 544805032 815385663
1 584489429 716610403
1 104170002 379029887
1 256195836 178703417
1 441964789 103757397
1 699099535 675830586
1 256505858 887254455
1 447482723 147372245
1 610226876 848690507
1 541270223 387909269
1 525043612 397681361
1 313624367 952845009
1 150928530 477616603
1 157649890 419859410
1 263055524 652846342
1 77053261 687475642
1 61177847 364386194
1 123145515 118392053
1 993970245 175596280
1 903090622 977150605
1 875363646 973816372
1 661398595 543807871
1 437419295 662545962
1 133511692 603574907
1 527201367 155847647
1 661501565 126941014
1 750281270 100813353
1 621884270 998994519
1 851275968 859137862
1 166491820 56826699
1 631225925 444905295
1 939487329 663765759
1 991138642 829484893
1 264979981 784940436
1 972976512 521243857
1 70851585 96648657
1 528909107 733524994
1 862548685 341131545
1 82307086 355725734
1 506729494 829945303
1 244673268 585409849
1 491824549 223616318
1 12036934 441286920
1 844627545 788242145
1 589537789 19556112
1 7500120 500465314
1 265085650 58930603
1 370576300 573297800
1 201180572 895591804
1 258716605 743078707
1 456488144 30144055
1 687980641 838677839
1 947231842 622271861
1 779188745 469957809
1 538604571 476431270
1 291079789 3244435
1 33324524 178000157
1 180565948 377494825
1 678586827 870635819
1 113044125 557064927
1 58453051 813380056
1 351134297 22046301
1 746859226 214073245
1 625124682 980529250
1 620657994 863810257
1 555478727 612529758
1 465346483 735875985
1 890290412 592385835
1 302253145 962761438
1 445002256 614857738
1 48096457 903301527
1 906803475 747540144
1 193239137 774901295
1 802246561 455614861
1 438650116 81139461
1 496216254 227579677
1 35264168 772363582
1 469467859 491387135
1 846637143 996795957
1 888694548 540503351
1 589504494 459967047
1 266910811 24145541
1 736571040 453727972
1 144757861 432354932
1 269668115 914492213
1 247681100 952939814
1 788384721 407903857
1 268105556 629388286
1 50806293 350358592
1 841384654 119547930
1 236148608 192853578
1 491305235 292461930
1 833828205 819844760
1 61568202 482631738
1 653290545 917786351
1 592775421 392840892
1 362999238 74635586
1 398447442 852146348
1 696934737 799292599
1 492133855 127154966
1 569924961 951753907
1 682331702 179219112
1 564718057 131642837
1 296803884 571344985
1 274725880 21002688
1 574982867 60634169
1 22543533 725015837
1 526673164 661252992
1 84628523 155885256
1 671539497 183256025
1 413194701 748708956
1 383079768 265687070
1 129659247 280041202
1 644317298 428279312
1 183528141 563927273
1 659693479 10232092
1 610091726 370203035
1 832766579 156965754
1 512283494 686742835
1 157638364 226141928
1 33395849 790802276
1 523173570 180140172
1 983793359 931365038
1 419966667 748508227
1 567038635 478891637
1 484426751 442876858
1 997036632 379776483
1 208197441 716508502
1 464626041 512309173
1 299315536 982490856
1 455894230 140154761
1 172540208 573330984
1 401171397 181996377
1 891181073 174834664
1 133124828 336981178
1 25431060 656536823
1 449825644 870139846
1 849502128 903958618
1 704030147 147269306
1 126597609 717203933
1 295420388 148269252
1 982949925 995176751
1 677633007 665147186
1 673442595 103853053
1 364787678 68175608
1 78695524 371702472
1 337999805 668476320
1 200192968 329316905
1 605275146 229342983
1 524661371 208786393
1 15278921 35249832
1 472512301 119716301
1 941073550 406094695
1 55085396 840755871
1 681237994 124621579
1 306878290 595183583
1 408259927 414340924
1 460623340 810906523
1 915441277 248695431
1 125021474 996906752
1 307236125 166865487
1 473688728 564572067
1 19913363 262400165
1 978539810 888817944
1 892744594 37633416
1 261097160 743855877
1 934971605 722898714
1 73584744 935695383
1 426831784 166412708
1 443969783 87448134
1 265444468 1638857
1 649330120 572411364
1 564598208 264824341
1 132309933 87469286
1 189852526 483683618
1 585842451 41552462
1 25899492 939538859
1 831965530 578637093
1 753362136 193837040
1 77646895 134285467
1 663469672 199682080
1 597414951 267031732
1 147797771 191536196
1 226633995 194542765
1 15796410 349774289
1 4109333 139061605
1 172882977 98820048
1 155607162 447468266
1 91429939 650650677
1 946551523 925568663
1 515366749 760380670
1 335273217 732846969
1 750939638 281102447
1 257722985 75692896
1 253383132 150227523
1 201104615 973487574
1 884726996 429849944
1 862349086 926933377
1 357890271 107573097
1 136926712 17757578
1 144393498 957978354
1 662562755 782492168
1 346254013 957996768
1 116368324 592302698
1 38640624 331379683
1 154065417 305163815
1 529205204 622081401
1 451072496 351144940
1 864941508 548096991
1 58478421 446795068
1 303142651 87324673
1 30602123 874268206
1 438731476 448556981
1 601472562 743823105
1 3182783 953426353
1 662564390 809971613
1 236819323 728142348
1 112652418 416096319
1 286212912 810021282
1 681848889 654515609
1 409186660 750535504
1 563162000 103301671
1 983546012 276192725
1 624703029 336258220
1 81812466 425560560
1 989715386 531141418
1 676339033 599184060
1 25167725 525632772
1 746481308 511877782
1 523792381 843078414
1 736903243 387591430
1 178137641 160106947
1 756429856 6378130
1 549446179 362248353
1 240786388 37632168
1 611857352 334813228
1 278525559 457698231
1 24604555 650369170
1 211112396 523054728
1 145219005 592867552
1 970520006 391441877
1 783175031 688452132
1 780034942 452583837
1 864718641 97338616
1 150813930 491996628
1 782075780 747714820
1 563007153 441250367
1 935672788 977284582
1 957487838 403126295
1 708273992 459128223
1 991839157 865622263
1 116706712 275612382
1 242986497 507642132
1 761771451 942757190
1 442750309 66585086
1 169498193 192813829
1 574622897 246047898
1 909162154 942173873
1 645749228 872406705
1 31079853 313541728
1 148629941 292915504
1 400517981 84935547
1 587213133 603768366
1 197479613 970599654
1 724104453 26692600
1 518177569 757192176
1 372625540 655136128
1 450538293 169751129
1 93340985 118872585
1 96479490 180634945
1 272005618 753220910
1 348080990 244723080
1 704993280 947755039
1 449050028 719263616
1 609159333 86364482
1 170889311 951013938
1 928101519 73996603
1 49535344 109850150
1 628211435 112957971
1 28969180 992177547
1 99578370 162377086
1 583925280 824892748
1 132278403 350523154
1 102287630 954258388
1 756103837 969427738
1 211866066 98063114
1 552241315 95458871
1 610578023 100945773
1 124193404 550393300
1 931974365 94914984
1 737309515 980375415
1 372325124 693990288
1 22973003 353183539
1 135236504 675202780
1 799901424 695602948
1 441921821 381594221
1 22330020 76965071
1 744721538 194450
1 430375895 395722747
1 3186902 22654386
1 241621966 48806085
1 6799097 248768566
1 159672949 416178740
1 161009967 265120149
1 129545002 300387712
1 783901707 223815204
1 904756864 709887419
1 988400391 52340570
1 202475597 393261931
1 520024795 591264853
1 83948907 618481026
1 669418616 251852479
1 55905925 160527736
1 14119867 882382077
1 823040195 687365616
1 970254404 15414935
1 590433181 681518858
1 341829141 603617062
1 474500347 320550718
1 238217742 609050364
1 914517161 542441926
1 612731421 992905382
1 683037799 161689509
1 815645581 167161066
1 61117539 705294707
1 606022508 698332813
1 309568446 356973819
1 237549669 118165688
1 809819785 37255456
1 212979372 482044233
1 420883313 122192020
1 699817712 68350965
1 618238387 999664701
1 712630812 462736543
1 78898744 846758787
1 163072761 574760555
1 250479591 742537817
1 130642479 979857319
1 938778623 489962252
1 936438898 613888401
1 932620115 63133352
1 31101261 673345984
1 145918853 824816075
1 280091821 219081323
1 397794043 400866168
1 479561293 480524260
1 664714334 643879844
1 94630246 105624320
1 531710925 579039886
1 135194403 760589851
1 777787081 327489656
1 285986053 499190785
1 546941668 11583494
1 860785 227806544
1 980621760 165908173
1 239001559 104782223
1 133117504 213886710
1 910798906 326755904
1 38755657 678782158
1 491137901 420541617
1 262702875 20841893
1 86490445 591458674
1 623605071 3209515
1 697467279 12307758
1 567625797 964410205
1 490479950 454282464
1 395765130 660663729
1 636903170 18576473
1 364903101 860606322
1 431798298 886751273
1 179437230 734484222
1 121572715 454146217
1 884988997 331312035
1 885359235 318472582
1 44073105 2301167
1 511099481 907367745
1 450440043 665947026
1 762138368 312575199
1 654703401 41337026
1 547155295 514066611
1 81327091 503292454
1 404384574 853276110
1 704312910 457216106
1 615622229 186591557
1 490288213 172220930
1 745875414 66035559
1 101280718 63473933
1 613978977 278721182
1 1659033 552037376
1 190916363 183722901
1 369264425 146934792
1 776588917 517300131
1 81411414 334551959
1 515743863 656084727
1 77173536 561453920
1 984868562 674949036
1 654557923 743771927
1 652248229 579450515
1 482506966 596326490
1 86149861 309714327
1 445246948 77923819
1 707095809 777737943
1 669101391 8197776
1 693064125 377447547
1 14565298 778806306
1 896635868 659261055
1 272293432 148059867
1 897543734 92400810
1 672598748 13239828
1 482871733 77493096
1 261372378 74477509
1 185983340 233288995
1 167390173 916038619
1 711502760 830919402
1 875075162 420233078
1 563112323 61358910
1 960874049 333116103
1 823540962 720843419
1 3210575 859000006
1 34467538 61283632
1 172152421 498245816
1 570655004 129663304
1 761629132 698285404
2 455958461 865180109
1 56886239 456795958
1 35940479 47199255
1 298594700 604818439
1 490917398 9514990
1 894017414 600577617
1 748341436 710278020
1 848282991 741275882
1 980312135 404491739
1 746782819 77384443
1 621872869 807377912
1 589412600 708483167
1 554446307 440515994
1 364971817 661011065
1 227125698 16144145
1 882819878 589172423
1 765298588 93806633
1 346054082 745240098
1 271692004 777277706
1 472949464 24663901
1 274208468 121815214
1 743212245 48805694
1 80642735 300265888
1 637163542 99681383
1 371966771 113602358
1 90912365 103245538
1 819643343 431048874
1 4082521 688432321
1 697813921 543352558
1 727473835 821321052
1 457421274 680874436
1 675739665 263024319
1 627685456 69784928
1 468186551 431280049
1 537032120 818051077
1 551291210 306913312
1 763086246 418196638
1 656629842 852271139
1 121667191 249025771
1 539346690 271344843
1 14202207 118786810
1 839985616 80752734
1 36235474 271739417
1 14301703 998037504
1 939720345 78076955
1 541135833 276700186
1 956151404 416516527
1 474576909 252823183
1 915474837 812738351
1 371150728 637774608
1 887686289 774563514
1 876083949 195047011
1 189796259 685487796
1 348920812 327225905
1 646788908 811934220
1 894527723 941911461
1 751199303 350324808
1 807452542 905708001
1 333093180 954692178
1 277469727 39682630
1 426436243 753984640
1 110305787 69448257
1 249490703 302166377
1 53644878 813816453
1 698583409 798256914
1 798624230 497618438
1 754372910 795025060
1 955902401 319468978
1 910496112 532664440
1 558599766 735246125
1 357556386 790935196
1 529186502 307756887
1 740823007 49576990
1 919267029 916578463
1 773497610 101310910
1 34727779 701713316
1 375276249 901424282
1 499980886 75240291
1 982233632 693858535
1 100577663 925109008
1 818499732 537731620
1 953010911 114320429
1 409974117 100423421
1 66829479 655063328
2 863261929 443721571
1 1612541 332172823
1 206580225 305762954
1 428679392 799884237
1 656194072 325240759
1 420973005 482161817
1 168440744 600137662
1 376303178 981150809
1 538456112 335785926
1 138131135 726120694
1 336955400 295030661
1 250600629 422318414
1 457105240 18763361
1 316191176 350552354
1 894870303 257202580
1 333763458 128131220
1 889169185 75276469
1 112010209 5402822
1 548920953 124709559
1 183627898 93059525
1 488165821 215422007
1 990651209 434154472
1 60175982 498888893
1 412140094 996776861
1 527708072 875082572
1 69128453 639213700
1 841761332 7924135
1 24736962 82755041
1 724066032 735455922
1 858648227 210643349
1 460697581 265696432
1 270534445 649536416
1 28815383 909300084
1 42088393 295974797
1 308169563 822772424
1 21464132 556370984
1 644034404 761625726
1 147055677 604064220
1 848743443 244663127
1 522430225 217137570
1 461538565 160707569
1 659903499 392554585
1 103513462 874958920
1 421121077 823324274
1 149689052 120546327
1 784967728 960560975
1 60437073 6120880
1 35840951 83442297
1 704656812 942209726
1 5419537 684823763
1 421048810 608732805
1 588891643 542693456
1 808204232 447438527
1 675990509 183992133
1 759628335 283144930
1 752672291 130008938
1 307867626 43084559
1 583017546 600992939
1 902071004 665794986
1 750736761 959294580
1 803360495 850150776
1 424289280 29715851
1 672875120 363256738
1 813811173 194015446
1 665623004 676489583
1 273198210 115256762
1 471433409 107109858
1 206117852 331615953
1 84365181 24863556
1 347062885 520322943
1 90973344 128119591
1 941925638 487730760
1 815583065 116454654
1 301670857 766181610
1 634302292 609797936
1 536971327 943786773
1 594211913 913641819
1 364052767 453944666
1 655043415 313501383
1 380423665 514699114
1 339245749 134220658
1 23147906 145294613
1 357134197 137655614
1 128262528 220683664
1 397404573 504516241
1 909340359 789781661
1 33972349 328576697
1 218900673 424123800
1 182994218 180218000
1 529894545 322933706
1 867831499 82556916
1 886682374 81633285
1 913251062 737952503
1 306015331 123817199
1 668325799 5208561
1 889101083 723664733
1 29076755 7211994
1 54104284 945118507
1 27120584 135079280
1 3229638 593434691
1 420696417 921493173
1 951234310 172274833
1 42717867 492631149
1 831916948 555097997
1 563544039 874758781
1 761752388 622365349
1 218860098 535158353
1 128762635 597573916
1 656821751 137223477
1 694495353 602755004
1 346929340 423315775
1 566826035 200690731
1 146928325 404121381
1 591860929 55359377
1 315100087 192488707
1 634917957 12839934
1 420411138 421776314
1 241038969 780772319
1 59779187 833932760
1 833289914 8217442
1 311116170 954272392
1 874613059 889097476
1 937831519 751854500
1 168904798 957042299
1 672327746 900960155
1 294184777 856191645
1 450883520 677014024
1 863354371 997394265
1 434401504 334656506
1 260487522 87604599
1 394340346 543660580
1 416248650 536822271
1 636723785 505641494
1 533659945 123964321
1 888372433 214662418
1 419881389 108219459
1 889222099 817118420
1 326798577 33493191
1 562633419 809375392
1 806437752 822980225
1 342674483 571873105
1 709237964 628220098
1 646756312 618598317
1 96143159 763349347
1 778280819 35809634
1 416058990 496690298
1 410362881 398950450
1 964705041 89067815
1 123157498 526811756
1 326540753 349717586
1 890588259 948828001
1 245201057 866024984
1 872779546 138015543
1 548892634 796235773
1 211289117 138699506
1 121249100 664621275
1 1567111 361609391
1 303745070 267741149
1 454997799 751719404
1 517109567 987151738
1 382686630 100667645
1 774987052 719063909
1 265083169 371737505
1 688752646 928863992
1 133550050 41236391
1 38991166 927971783
1 14890446 594096379
1 369072790 866587572
1 280765828 602677315
1 262698472 94324319
1 236312595 801499440
1 457610163 708048212
1 821860487 187366083
1 588485991 521856302
1 797053881 874566559
1 621006341 276027345
1 227280247 318681894
1 983622589 415738717
1 600560436 446106952
1 592079161 428217307
1 874891664 483665839
1 422640813 241218393
1 878337406 207171742
1 828824858 125948895
1 144688622 830181550
2 813046082 220032891
1 27337590 487331828
1 911372486 229496729
1 255017197 844154214
1 653821284 100498489
1 50396605 345656826
1 748671376 813128659
1 602753276 793946833
1 678801947 191190365
1 867346270 162742632
1 132544697 176654049
1 872593947 313620444
1 424649187 783705506
1 57347622 207282607
1 693281042 521182850
1 659603017 637320905
1 388911391 641010716
1 936758691 693682058
1 561404865 281399715
1 204477723 683255261
1 651676394 351532836
1 826006731 6328640
1 660467975 142284482
1 106034476 857494769
1 862776290 871521486
1 262044838 491610847
1 948261162 949205347
1 799691366 105620367
1 983653740 939293574
1 302901373 327132621
1 157457046 473697596
1 364516870 811672846
1 4026621 103426090
1 554184541 543003548
1 412639657 802997614
1 371442140 93085151
1 871559141 101505178
1 594215884 980382416
1 456551650 97489397
1 700715284 914436618
1 276676292 796343889
1 632918850 773586937
1 659131119 89044385
1 580120646 304918520
1 777803015 595292394
1 36623002 780945081
1 322905333 171734340
1 805290739 79506979
1 650196651 458317421
1 80882820 626364345
1 409198809 954723747
1 239019417 404921629
1 273788520 299178697
1 135150865 590373176
1 918266481 132753756
1 927578899 234761920
1 804335483 849883494
1 104847288 670252385
1 473696013 687011062
1 128218433 834084068
1 231239365 287585063
1 193344646 400707411
1 150008937 847381159
1 792534570 434939296
1 248146277 181235065
1 254308612 465362932
1 937599162 787092626
1 188627193 571369779
1 21876719 48269752
1 500300064 937676221
1 532466361 597772278
1 561399201 540709936
1 325642745 289282659
2 550185408 49051921
1 28313550 64927441
1 569659573 786345085
1 425523994 661222648
1 262908044 114612207
1 50804979 121252772
1 549280869 524345408
1 410912547 47252324
1 9138502 912442755
1 25341612 153184287
1 623345729 146437237
1 858870767 803389482
1 337732657 266465756
1 651337956 312877733
1 217399166 958099415
1 869087116 356370296
1 64648184 708281684
1 205464834 93760662
1 202548548 471865741
1 871910284 560714638
1 562675401 514966866
1 425552304 930007396
1 82612363 630022488
1 185356204 75927409
1 943392860 732032219
1 11749525 491728307
1 28626069 82004755
1 193106567 694280952
1 666472588 923062342
1 685626192 715137720
1 946794729 718164611
1 974178891 609296309
1 738721205 877307706
1 668643553 110270520
1 640372700 703413783
1 662291160 719783719
1 727400605 945049511
1 86384269 954442289
1 300002092 636535666
1 245276863 140096426
1 620913224 65514995
1 451004960 216067388
1 660117790 699176128
1 858184465 6130003
1 384608342 186626524
1 377543796 711886134
1 329970761 808782151
1 806119258 119523930
1 436046187 59556276
1 750379424 248498915
1 363816776 575589801
1 954495190 497815240
1 231709555 747617452
1 336029650 915819587
1 51564673 650022879
1 602265434 977699505
1 72742699 461325528
1 525281503 893926682
1 100455532 226958360
1 756999604 992198178
1 883269695 352290732
1 440138947 127096892
1 114999640 63667180
1 74115740 122726920
1 293694211 994162049
1 267370946 167699898
1 713521935 407455275
1 683480684 162806763
1 380692224 733402933
1 648616728 467333902
1 11250413 693087511
1 708151297 544477005
1 2562145 698255231
1 692865327 124195433
1 805250521 196541631
1 208940086 313241135
1 422026017 265325
1 181054953 799245850
1 626216593 4924604
1 111625559 130524860
1 435440171 611663599
1 933054379 712336037
1 857175795 26261067
1 48252677 819880929
1 21693340 113702546
1 181659011 214230421
1 570496264 609203771
1 215080527 436417966
1 207759960 13237698
1 106012523 134025629
1 703290823 251847651
1 224966762 445150214
1 469272572 149660751
1 340129531 103042850
1 845333862 567388660
1 760026637 534955703
1 991130864 698760047
1 54105606 967337361
1 834353737 708021427
1 999757239 7861745
1 484795617 199956779
1 239222951 323728851
1 347537744 58827215
1 64542569 287715448
1 384139461 689056723
1 841308132 833442676
1 311732042 567814861
1 72854736 403869162
1 577059106 596244690
1 534823381 202996703
1 672109208 375475636
1 419676966 967449392
1 659915781 598978159
1 695982241 30099278
1 972436998 398071716
1 404072417 901820705
1 798326045 780990437
1 382860975 676378991
1 215073711 321861454
1 913128089 818628939
1 191583895 872536412
1 522253265 537938144
1 638028149 746229350
1 622080688 359729620
1 476497958 327639021
1 590340329 475460363
1 71093799 665550639
1 202931102 458999878
1 524934906 511121844
1 92900428 742839183
1 474729050 869394745
1 676308638 881313873
1 104466558 68279285
1 883108311 141898560
1 860293370 736252917
1 464144573 217232507
1 345916306 370101091
1 91652310 654599271
1 488486099 155883412
1 478222915 608725331
1 652752782 115033129
1 755586780 76206749
1 747770316 701398768
1 179101258 175748690
1 43672139 144190055
1 107605532 344945550
1 453476972 960983779
1 570071011 51911188
1 291492039 696500666
1 98531255 304910948
1 461482835 224053459
1 907710379 164511565
1 824785596 164570587
1 15896766 888973934
1 137366958 767499737
1 37120278 548728225
1 17664466 533936776
1 123849510 420039205
1 219645093 50688858
1 568703142 891478444
1 812986726 222436599
1 503688905 118889861
1 748588066 560421136
1 720750296 487950723
1 774420201 574912318
1 473132164 593314085
1 891391531 771540045
1 111360715 619753977
1 703323924 15197580
1 432707352 132836322
1 266544930 169750868
1 529228641 661481991
1 131759340 9544479
1 25015626 116788526
1 146126850 25654360
1 654912141 47641490
1 84000906 699449641
1 799243247 164018922
1 765948900 286182182
1 793347645 67905292
1 960428891 86775116
1 770614602 38719335
1 776914994 702708976
1 190898940 890894540
1 559255301 15404635
1 935710166 250991559
1 410104877 3139447
1 963600418 851021877
1 84891392 633462314
1 715362893 136181676
1 959215032 367304795
1 662883335 82534356
1 976529230 102233167
1 421743555 193388716
1 49745103 133280947
1 83073243 933581707
1 3318223 520756295
1 749678862 566076685
1 138117240 54113920
1 354823233 744967890
1 48576694 177688776
1 537754552 75063819
1 547989915 302118000
1 27006349 569636704
1 499267916 977255383
1 139933250 156517863
1 389596640 66067355
1 907686168 550575866
1 328537077 335175280
1 246171779 355585531
1 830259085 963187036
1 916499804 859489544
1 488431229 26661900
1 759552691 159279869
1 733361858 997075851
1 418053719 809845896
1 85527582 795510831
